timestamp,cps,cps_err,usv_hr
1776898288.759101,6.5,1.8027756377319946,0.081471
1776898290.7880676,5.0,1.5811388300841898,0.06267
1776898292.7904067,5.5,1.6583123951777,0.068937
1776898294.8229673,8.5,2.0615528128088303,0.106539
1776898296.8169167,6.5,1.8027756377319946,0.081471
1776898298.8354769,1.5,0.8660254037844386,0.018801
1776898300.879478,6.5,1.8027756377319946,0.081471
1776898302.9101832,7.0,1.8708286933869707,0.087738
1776898304.8922815,3.5,1.3228756555322954,0.043869
1776898306.9278796,5.5,1.6583123951777,0.068937
1776898308.9483173,4.5,1.5,0.056403
1776898310.9746025,2.5,1.118033988749895,0.031335
1776898312.9722035,7.0,1.8708286933869707,0.087738
1776898315.0270169,3.0,1.224744871391589,0.037602
1776898317.0096169,9.0,2.1213203435596424,0.112806
1776898319.07284,6.0,1.7320508075688772,0.075204
1776898321.087287,7.5,1.9364916731037085,0.094005
1776898323.097332,5.5,1.6583123951777,0.068937
1776898325.1216342,6.0,1.7320508075688772,0.075204
1776898327.1458595,5.0,1.5811388300841898,0.06267
1776898329.1560328,2.5,1.118033988749895,0.031335
1776898331.1690805,4.5,1.5,0.056403
1776898333.1892025,6.5,1.8027756377319946,0.081471
1776898335.1736321,7.0,1.8708286933869707,0.087738
1776898337.255272,6.5,1.8027756377319946,0.081471
1776898339.2522695,5.0,1.5811388300841898,0.06267
1776898341.2796164,5.0,1.5811388300841898,0.06267
1776898343.2889624,4.0,1.4142135623730951,0.050136
1776898345.2832174,9.5,2.179449471770337,0.119073
1776898347.3337522,6.5,1.8027756377319946,0.081471
1776898349.3200176,9.5,2.179449471770337,0.119073
1776898351.374068,10.0,2.23606797749979,0.12534
1776898353.382257,6.0,1.7320508075688772,0.075204
1776898355.386623,7.0,1.8708286933869707,0.087738
1776898357.3944716,3.0,1.224744871391589,0.037602
1776898359.4291422,7.0,1.8708286933869707,0.087738
1776898361.449265,4.5,1.5,0.056403
1776898363.4919956,6.0,1.7320508075688772,0.075204
1776898365.496639,10.0,2.23606797749979,0.12534
1776898367.4810188,6.0,1.7320508075688772,0.075204
1776898369.503025,5.5,1.6583123951777,0.068937
1776898371.5266085,4.0,1.4142135623730951,0.050136
1776898373.583838,4.0,1.4142135623730951,0.050136
1776898375.59862,5.5,1.6583123951777,0.068937
1776898377.617971,6.5,1.8027756377319946,0.081471
1776898379.627337,7.0,1.8708286933869707,0.087738
1776898381.6196666,5.0,1.5811388300841898,0.06267
1776898383.6699185,6.0,1.7320508075688772,0.075204
1776898385.6884139,5.0,1.5811388300841898,0.06267
1776898387.7180266,8.5,2.0615528128088303,0.106539
1776898389.7151356,6.5,1.8027756377319946,0.081471
1776898391.715341,6.0,1.7320508075688772,0.075204
1776898393.765126,7.5,1.9364916731037085,0.094005
1776898395.7676432,4.5,1.5,0.056403
1776898397.7711685,5.0,1.5811388300841898,0.06267
1776898399.7929847,6.5,1.8027756377319946,0.081471
1776898401.8191907,7.0,1.8708286933869707,0.087738
1776898403.8546503,10.0,2.23606797749979,0.12534
1776898405.8809292,6.5,1.8027756377319946,0.081471
1776898407.9000583,6.5,1.8027756377319946,0.081471
1776898409.9395106,10.0,2.23606797749979,0.12534
1776898411.917107,5.5,1.6583123951777,0.068937
1776898413.9442253,4.5,1.5,0.056403
1776898415.9787467,4.0,1.4142135623730951,0.050136
1776898417.9676712,7.0,1.8708286933869707,0.087738
1776898420.0049996,7.5,1.9364916731037085,0.094005
1776898422.0512776,6.5,1.8027756377319946,0.081471
1776898424.0355918,4.0,1.4142135623730951,0.050136
1776898426.0629342,7.0,1.8708286933869707,0.087738
1776898428.090984,8.5,2.0615528128088303,0.106539
1776898430.1296577,2.5,1.118033988749895,0.031335
1776898432.1381254,8.0,2.0,0.100272
1776898434.152496,4.0,1.4142135623730951,0.050136
1776898436.1904178,8.0,2.0,0.100272
1776898438.2172558,3.5,1.3228756555322954,0.043869
1776898440.1952705,7.5,1.9364916731037085,0.094005
1776898442.2549915,8.0,2.0,0.100272
1776898444.2411811,9.5,2.179449471770337,0.119073
1776898446.2906518,6.0,1.7320508075688772,0.075204
1776898448.3026977,8.0,2.0,0.100272
1776898450.3024573,6.0,1.7320508075688772,0.075204
1776898452.3096235,6.5,1.8027756377319946,0.081471
1776898454.339834,7.5,1.9364916731037085,0.094005
1776898456.3810859,6.5,1.8027756377319946,0.081471
1776898458.4100409,6.5,1.8027756377319946,0.081471
1776898460.414442,9.0,2.1213203435596424,0.112806
1776898462.4131234,7.0,1.8708286933869707,0.087738
1776898464.4537575,7.0,1.8708286933869707,0.087738
1776898466.4855266,6.5,1.8027756377319946,0.081471
1776898468.4927561,6.0,1.7320508075688772,0.075204
1776898470.523825,6.0,1.7320508075688772,0.075204
1776898472.4983642,5.5,1.6583123951777,0.068937
1776898474.5208967,7.0,1.8708286933869707,0.087738
1776898476.5526483,5.5,1.6583123951777,0.068937
1776898478.5704095,6.0,1.7320508075688772,0.075204
1776898480.5740383,4.5,1.5,0.056403
1776898482.615961,5.0,1.5811388300841898,0.06267
1776898484.648278,5.0,1.5811388300841898,0.06267
1776898486.630811,8.5,2.0615528128088303,0.106539
1776898488.6555192,10.0,2.23606797749979,0.12534
1776898490.6757178,4.5,1.5,0.056403
1776898492.7117136,9.0,2.1213203435596424,0.112806
1776898494.73425,6.0,1.7320508075688772,0.075204
1776898496.7585642,5.5,1.6583123951777,0.068937
1776898498.7786193,4.5,1.5,0.056403
1776898500.8063924,6.5,1.8027756377319946,0.081471
1776898502.8091922,8.0,2.0,0.100272
1776898504.8254142,7.0,1.8708286933869707,0.087738
1776898506.8532257,9.0,2.1213203435596424,0.112806
1776898508.8580625,8.0,2.0,0.100272
1776898510.8890288,5.5,1.6583123951777,0.068937
1776898512.9360008,8.0,2.0,0.100272
1776898514.9155424,4.5,1.5,0.056403
1776898516.928631,8.5,2.0615528128088303,0.106539
1776898518.9556944,7.0,1.8708286933869707,0.087738
1776898520.9808097,9.5,2.179449471770337,0.119073
1776898523.01982,8.0,2.0,0.100272
1776898525.0225627,8.0,2.0,0.100272
1776898527.0615826,9.5,2.179449471770337,0.119073
1776898529.053199,8.5,2.0615528128088303,0.106539
1776898531.0787923,9.0,2.1213203435596424,0.112806
1776898533.1010342,8.0,2.0,0.100272
1776898535.1036665,8.5,2.0615528128088303,0.106539
1776898537.1889954,6.0,1.7320508075688772,0.075204
1776898539.1720514,6.5,1.8027756377319946,0.081471
1776898541.1527865,14.5,2.692582403567252,0.181743
1776898543.217179,11.5,2.3979157616563596,0.144141
1776898545.1945086,12.5,2.5,0.156675
1776898547.2216134,6.0,1.7320508075688772,0.075204
1776898549.254486,7.5,1.9364916731037085,0.094005
1776898551.2718098,6.5,1.8027756377319946,0.081471
1776898553.3187423,6.0,1.7320508075688772,0.075204
1776898555.3489947,5.5,1.6583123951777,0.068937
1776898557.3349984,8.5,2.0615528128088303,0.106539
1776898559.3373818,9.0,2.1213203435596424,0.112806
1776898561.3684807,12.5,2.5,0.156675
1776898563.42876,7.5,1.9364916731037085,0.094005
1776898565.4235346,11.0,2.345207879911715,0.137874
1776898567.4509492,6.5,1.8027756377319946,0.081471
1776898569.4380333,10.5,2.29128784747792,0.131607
1776898571.4612424,10.5,2.29128784747792,0.131607
1776898573.4842718,10.0,2.23606797749979,0.12534
1776898575.4878924,7.5,1.9364916731037085,0.094005
1776898577.5163023,8.5,2.0615528128088303,0.106539
1776898579.545717,12.0,2.449489742783178,0.150408
1776898581.590738,5.5,1.6583123951777,0.068937
1776898583.580881,6.5,1.8027756377319946,0.081471
1776898585.6047602,10.5,2.29128784747792,0.131607
1776898587.6584368,10.5,2.29128784747792,0.131607
1776898589.6747396,15.5,2.7838821814150108,0.194277
1776898591.6895041,13.5,2.598076211353316,0.169209
1776898593.6860614,9.0,2.1213203435596424,0.112806
1776898595.7174063,12.0,2.449489742783178,0.150408
1776898597.7458923,8.5,2.0615528128088303,0.106539
1776898599.7670674,10.5,2.29128784747792,0.131607
1776898601.7565534,8.0,2.0,0.100272
1776898603.8054347,11.0,2.345207879911715,0.137874
1776898605.8191133,9.5,2.179449471770337,0.119073
1776898607.8249032,10.0,2.23606797749979,0.12534
1776898609.8580496,6.0,1.7320508075688772,0.075204
1776898611.8723981,10.0,2.23606797749979,0.12534
1776898613.865403,10.5,2.29128784747792,0.131607
1776898615.929009,7.5,1.9364916731037085,0.094005
1776898617.9336717,8.5,2.0615528128088303,0.106539
1776898619.9176927,9.0,2.1213203435596424,0.112806
1776898621.9739642,4.0,1.4142135623730951,0.050136
1776898623.97901,3.5,1.3228756555322954,0.043869
1776898626.0070522,8.5,2.0615528128088303,0.106539
1776898628.0441773,7.5,1.9364916731037085,0.094005
1776898630.051812,8.5,2.0615528128088303,0.106539
1776898632.0752354,3.0,1.224744871391589,0.037602
1776898634.0832138,2.5,1.118033988749895,0.031335
1776898636.066285,1.5,0.8660254037844386,0.018801
1776898638.107509,4.0,1.4142135623730951,0.050136
1776898640.1293085,1.0,0.7071067811865476,0.012534
1776898642.198076,3.5,1.3228756555322954,0.043869
1776898644.1869113,2.5,1.118033988749895,0.031335
1776898646.2079635,2.5,1.118033988749895,0.031335
1776898648.196191,1.0,0.7071067811865476,0.012534
1776898650.227206,4.0,1.4142135623730951,0.050136
1776898652.245049,3.5,1.3228756555322954,0.043869
1776898654.2643476,4.0,1.4142135623730951,0.050136
1776898656.2873743,3.5,1.3228756555322954,0.043869
1776898658.2825072,3.0,1.224744871391589,0.037602
1776898660.31711,1.5,0.8660254037844386,0.018801
1776898662.3505418,3.0,1.224744871391589,0.037602
1776898664.3949656,5.5,1.6583123951777,0.068937
1776898666.4063282,3.5,1.3228756555322954,0.043869
1776898668.4070194,2.5,1.118033988749895,0.031335
1776898670.433425,2.5,1.118033988749895,0.031335
1776898672.4265566,3.5,1.3228756555322954,0.043869
1776898674.4517076,3.0,1.224744871391589,0.037602
1776898676.4796727,3.0,1.224744871391589,0.037602
1776898678.4944682,7.0,1.8708286933869707,0.087738
1776898680.508506,5.0,1.5811388300841898,0.06267
1776898682.5478628,3.5,1.3228756555322954,0.043869
1776898684.5529652,4.5,1.5,0.056403
1776898686.5878222,2.5,1.118033988749895,0.031335
1776898688.5848737,4.5,1.5,0.056403
1776898690.6256454,3.5,1.3228756555322954,0.043869
1776898692.6322696,2.5,1.118033988749895,0.031335
1776898694.6628048,1.0,0.7071067811865476,0.012534
1776898696.683546,2.5,1.118033988749895,0.031335
1776898698.683202,2.0,1.0,0.025068
1776898700.7091403,3.0,1.224744871391589,0.037602
1776898702.7697434,4.5,1.5,0.056403
1776898704.743646,5.0,1.5811388300841898,0.06267
1776898706.809523,4.0,1.4142135623730951,0.050136
1776898708.7845252,3.5,1.3228756555322954,0.043869
1776898710.8343844,2.5,1.118033988749895,0.031335
1776898712.8228245,2.0,1.0,0.025068
1776898714.869616,3.0,1.224744871391589,0.037602
1776898716.8898077,4.0,1.4142135623730951,0.050136
1776898718.915654,4.5,1.5,0.056403
1776898720.8911817,1.5,0.8660254037844386,0.018801
1776898722.9436376,4.5,1.5,0.056403
1776898724.9823995,3.0,1.224744871391589,0.037602
1776898727.0031714,5.0,1.5811388300841898,0.06267
1776898729.0155604,3.5,1.3228756555322954,0.043869
1776898730.9870307,9.0,2.1213203435596424,0.112806
1776898733.0598085,5.5,1.6583123951777,0.068937
1776898735.0693562,6.0,1.7320508075688772,0.075204
1776898737.0986795,8.0,2.0,0.100272
1776898739.111927,7.5,1.9364916731037085,0.094005
1776898741.1101103,8.0,2.0,0.100272
1776898743.1386592,9.5,2.179449471770337,0.119073
1776898745.1348407,10.5,2.29128784747792,0.131607
1776898747.2019367,7.0,1.8708286933869707,0.087738
1776898749.1792345,10.5,2.29128784747792,0.131607
1776898751.2234197,5.5,1.6583123951777,0.068937
1776898753.2374632,8.5,2.0615528128088303,0.106539
1776898755.2519867,7.0,1.8708286933869707,0.087738
1776898757.2823896,7.0,1.8708286933869707,0.087738
1776898759.2715836,7.0,1.8708286933869707,0.087738
1776898761.2931373,8.5,2.0615528128088303,0.106539
1776898763.3253996,8.5,2.0615528128088303,0.106539
1776898765.344365,8.5,2.0615528128088303,0.106539
1776898767.360883,6.0,1.7320508075688772,0.075204
1776898769.3864884,8.5,2.0615528128088303,0.106539
1776898771.4289925,7.0,1.8708286933869707,0.087738
1776898773.4075356,7.0,1.8708286933869707,0.087738
1776898775.4365516,5.5,1.6583123951777,0.068937
1776898777.4419496,7.0,1.8708286933869707,0.087738
1776898779.4665813,5.0,1.5811388300841898,0.06267
1776898781.4824452,4.0,1.4142135623730951,0.050136
1776898783.5175614,5.0,1.5811388300841898,0.06267
1776898785.555659,4.5,1.5,0.056403
1776898787.5697925,8.0,2.0,0.100272
1776898789.6078444,7.0,1.8708286933869707,0.087738
1776898791.5942752,6.5,1.8027756377319946,0.081471
1776898793.626237,10.5,2.29128784747792,0.131607
1776898795.6394608,9.0,2.1213203435596424,0.112806
1776898797.6572058,11.0,2.345207879911715,0.137874
1776898799.6846516,6.0,1.7320508075688772,0.075204
1776898801.7079718,8.0,2.0,0.100272
1776898803.6960473,6.5,1.8027756377319946,0.081471
1776898805.7152815,8.0,2.0,0.100272
1776898807.7614872,8.0,2.0,0.100272
1776898809.7753143,5.0,1.5811388300841898,0.06267
1776898811.8076386,9.5,2.179449471770337,0.119073
1776898813.8072402,5.0,1.5811388300841898,0.06267
1776898815.8661184,10.0,2.23606797749979,0.12534
1776898817.8797274,9.0,2.1213203435596424,0.112806
1776898819.8640783,9.5,2.179449471770337,0.119073
1776898821.884294,5.0,1.5811388300841898,0.06267
1776898823.9098287,8.5,2.0615528128088303,0.106539
1776898825.9192085,4.5,1.5,0.056403
1776898827.9462924,6.5,1.8027756377319946,0.081471
1776898829.9496176,8.5,2.0615528128088303,0.106539
1776898831.9744716,7.5,1.9364916731037085,0.094005
1776898834.032728,5.0,1.5811388300841898,0.06267
1776898836.0096786,7.5,1.9364916731037085,0.094005
1776898838.061545,3.5,1.3228756555322954,0.043869
1776898840.0753655,5.0,1.5811388300841898,0.06267
1776898842.105719,5.5,1.6583123951777,0.068937
1776898844.1158788,6.0,1.7320508075688772,0.075204
1776898846.1323261,5.0,1.5811388300841898,0.06267
1776898848.1873403,6.0,1.7320508075688772,0.075204
1776898850.1500704,6.5,1.8027756377319946,0.081471
1776898852.2032351,6.0,1.7320508075688772,0.075204
1776898854.1847985,7.0,1.8708286933869707,0.087738
1776898856.2184014,6.5,1.8027756377319946,0.081471
1776898858.240718,8.5,2.0615528128088303,0.106539
1776898860.2754686,6.0,1.7320508075688772,0.075204
1776898862.267431,5.0,1.5811388300841898,0.06267
1776898864.3060153,6.0,1.7320508075688772,0.075204
1776898866.3149834,4.0,1.4142135623730951,0.050136
1776898868.3414905,4.5,1.5,0.056403
1776898870.3910997,8.0,2.0,0.100272
1776898872.3842597,4.0,1.4142135623730951,0.050136
