time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1771457539.036571,306,86,7,1,0,0,22.8925,253159,35.30381945038102,1003.4650161482115,81.78705462449572
1771457540.0487459,306,86,7,1,0,0,22.8909375,254087,35.23425713718926,1003.4406653591471,81.99139283839644
1771457541.0604656,306,86,7,1,0,0,22.8891796875,257485,35.17048919971031,1003.4214558228731,82.15259136498477
1771457542.072374,285,79,9,1,0,0,22.886640625,257485,35.106674367256645,1003.4064409881347,82.2785914216302
1771457543.084512,285,79,9,1,0,0,22.884296875,258831,35.04868144410433,1003.4008360697159,82.32562663220956
1771457544.0957463,285,79,9,1,0,0,22.8805859375,260583,34.973261820058084,1003.3857472347984,82.45224978715788
1771457545.1078138,270,74,9,1,0,0,22.87765625,261566,34.93257914710949,1003.3719205068916,82.56828289019312
1771457546.1199632,270,74,9,1,0,0,22.8739453125,261962,34.880294894040745,1003.360469560507,82.66437955184195
1771457547.1321814,270,74,9,1,0,0,22.869453125,264360,34.82795573521946,1003.3295685196784,82.92370638048551
1771457548.1443338,258,71,10,1,0,0,22.8649609375,264158,34.79293229721061,1003.2986678433845,83.18303661683325
1771457549.1564727,258,71,10,1,0,0,22.859296875,265575,34.7462785853798,1003.258599552898,83.51931459069733
1771457550.1686234,258,71,10,1,0,0,22.85421875,267213,34.69393331958635,1003.234028410663,83.72553625264001
1771457551.1807568,252,72,10,1,0,0,22.8489453125,268248,34.65886963057019,1003.2036858308785,83.98020230908402
1771457552.1929018,252,72,10,1,0,0,22.8440625,268664,34.600816479071575,1003.1776120242637,84.19904542436223
1771457553.2048018,252,72,10,1,0,0,22.8391796875,270130,34.56581265545131,1003.16063215034,84.34156366599059
1771457554.2168984,261,72,13,1,0,0,22.8325390625,271186,34.513387392113536,1003.1444508578363,84.4773809416876
1771457555.2290034,261,72,13,1,0,0,22.824921875,274190,34.46664316619544,1003.124873815385,84.64170273139543
1771457556.2411242,261,72,13,1,0,0,22.816328125,273325,34.414072549567095,1003.103719796026,84.81926394735818
1771457557.253241,252,72,13,1,0,0,22.8065625,276377,34.37291050100425,1003.0770361540305,85.04324367039435
1771457558.2653453,252,72,13,1,0,0,22.796015625,276377,34.32594096924415,1003.0509097954214,85.26255028886035
1771457559.2774553,252,72,13,1,0,0,22.785859375,276377,34.29051543109409,1003.0290517998546,85.4460315005428
1771457560.28961,264,71,13,1,0,0,22.77453125,277484,34.249246300581454,1002.9962088208684,85.72172936184624
1771457561.301749,264,71,13,1,0,0,22.763203125,278823,34.213732712909504,1002.9706404600852,85.93636606056091
1771457562.3138788,264,71,13,1,0,0,22.7520703125,278599,34.14954420067931,1002.9435693823211,86.16362232749827
1771457563.3259263,249,71,16,1,0,0,22.7399609375,280857,34.113985277079784,1002.9131032249841,86.41938554653271
1771457564.3369133,249,71,16,1,0,0,22.7270703125,282690,34.05541758864074,1002.9013783436105,86.51781753595066
1771457565.349034,249,71,16,1,0,0,22.71125,281999,33.996604788992414,1002.8831036850423,86.6712376624044
1771457566.361038,228,61,16,1,0,0,22.6950390625,284080,33.94351386534131,1002.8805627590394,86.69256952274758
1771457567.371843,228,61,16,1,0,0,22.6782421875,286665,33.87893273873514,1002.877074530794,86.72185434993398
1771457568.38266,228,61,16,1,0,0,22.6565625,287140,33.83111384022822,1002.8656995946568,86.81735126535155
1771457569.3934507,216,57,13,0,0,0,22.634296875,288575,33.766086954545884,1002.8642858610365,86.82922015809592
1771457570.4042118,216,57,13,0,0,0,22.6128125,289297,33.69544407249201,1002.8568594815392,86.89156798304099
1771457571.415231,216,57,13,0,0,0,22.5903515625,288575,33.63046917983603,1002.8623984221783,86.8450660281365
1771457572.42742,207,52,10,0,0,0,22.5669140625,291242,33.57115456262137,1002.851813860773,86.93392847165866
1771457573.4390748,207,52,10,0,0,0,22.5440625,292225,33.50620886572825,1002.8530813045297,86.92328763652536
1771457574.451425,207,52,10,0,0,0,22.514765625,293214,33.469264765415716,1002.8512069358279,86.93902391919129
1771457575.4646358,222,57,11,1,0,0,22.475703125,295464,33.40860879782513,1002.8553669758314,86.9040982906663
1771457576.4767742,222,57,11,1,0,0,22.431171875,296475,33.36460902585642,1002.8561382437994,86.89762312098077
1771457577.4888878,222,57,11,1,0,0,22.3755078125,298261,33.296805219650984,1002.8643594323877,86.8286024950958
1771457578.5010486,213,55,10,1,0,0,22.289375,298518,33.24339364678434,1002.865133920441,86.82210033844763
1771457579.5130863,213,55,10,1,0,0,22.212421875,301373,33.17945421521236,1002.869806652162,86.78287085428157
1771457580.5251882,213,55,10,1,0,0,22.132734375,301636,33.11531628402677,1002.8773001273017,86.71996039031363
1771457581.5370567,210,54,10,1,0,0,22.048359375,301636,33.09633982978769,1002.8899031664646,86.61415412631268
1771457582.5489135,210,54,10,1,0,0,21.9659375,305088,33.083242022628255,1002.8929144647977,86.58887354009822
1771457583.5607262,210,54,10,1,0,0,21.8841015625,306166,33.087276829534154,1002.9077382357412,86.46442525242095
1771457584.5719907,201,54,7,1,0,0,21.8159375,305357,33.195002661572936,1002.9210263596037,86.35287027080302
1771457585.5837946,201,54,7,1,0,0,21.7536328125,304819,33.240651232413434,1002.9564745600378,86.05528533006424
1771457586.595544,201,54,7,1,0,0,21.685859375,307252,33.20608361203025,1002.9685315933048,85.95406939572547
1771457587.6075747,186,49,7,2,0,0,21.6251171875,307252,33.189241560995335,1002.9592609034756,86.03189455029822
1771457588.6193957,186,49,7,2,0,0,21.574140625,308620,33.218819961661744,1002.9566931037486,86.05345069868673
1771457589.6315055,186,49,7,2,0,0,21.5305859375,309170,33.28892979099132,1002.9624876824626,86.00480647047712
1771457590.643689,165,45,9,3,0,0,21.481171875,309170,33.30726761650711,1003.0186880884621,85.53302808944645
1771457591.6558466,165,45,9,3,0,0,21.4290234375,308620,33.274107025823454,1003.0486685666899,85.28136354673855
1771457592.667114,165,45,9,3,0,0,21.3868359375,312516,33.31017699394059,1003.0638980058966,85.15352569549286
