time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:14:30 2026,18.480390625,126990,34.63526900299992,1003.3910759256839,82.40753206624099,0,0,0,0,0,0,141,30,6,0,0,0
Wed Feb 18 15:14:31 2026,18.4675,128254,34.605618925015364,1003.3852051003826,82.45679932351615,0,0,1,0,0,1,162,36,9,1,1,1
Wed Feb 18 15:14:32 2026,18.4579296875,128254,34.58765915608764,1003.379672432703,82.50322901647893,0,0,1,0,0,1,162,36,9,1,1,1
Wed Feb 18 15:14:33 2026,18.450703125,127863,34.569923121469586,1003.3797453605334,82.50261701076626,0,0,1,0,0,1,162,36,9,1,1,1
Wed Feb 18 15:14:34 2026,18.4440625,129244,34.5522448502935,1003.3790677852821,82.50830318056022,0,1,1,0,1,1,198,45,12,1,1,1
Wed Feb 18 15:14:35 2026,18.4391796875,129444,34.551784722151226,1003.3813034004402,82.48954204757487,0,1,1,0,1,1,198,45,12,1,1,1
Wed Feb 18 15:14:36 2026,18.433515625,129045,34.562618654965064,1003.3788013137391,82.5105393941986,0,1,1,0,1,1,198,45,12,1,1,1
Wed Feb 18 15:14:37 2026,18.4284375,129444,34.607618769723516,1003.3772702609158,82.52338790945295,0,1,1,0,1,1,186,45,11,1,1,1
Wed Feb 18 15:14:38 2026,18.4223828125,131682,34.65253945690919,1003.3689565669753,82.59315627151237,0,1,1,0,1,1,186,45,11,1,1,1
Wed Feb 18 15:14:39 2026,18.4149609375,132621,34.685965966292876,1003.3841965494153,82.46526298498978,0,1,1,0,1,1,186,45,11,1,1,1
Wed Feb 18 15:14:40 2026,18.405390625,132202,34.71919596260035,1003.3786621101573,82.51170758272033,0,0,1,0,0,1,189,45,10,1,1,1
Wed Feb 18 15:14:41 2026,18.394453125,133786,34.689716302220596,1003.3811889137233,82.49050281162822,0,0,1,0,0,1,189,45,10,1,1,1
Wed Feb 18 15:14:42 2026,18.3758984375,134215,34.68227477211456,1003.3710896729078,82.5752552422936,0,0,1,0,0,1,189,45,10,1,1,1
Wed Feb 18 15:14:43 2026,18.3583203125,134863,34.646491116128345,1003.3712139420281,82.57421237654079,0,1,2,0,1,2,252,60,10,1,1,1
Wed Feb 18 15:14:44 2026,18.346015625,135081,34.633957525972,1003.3628665873915,82.64426356183841,0,1,2,0,1,2,252,60,10,1,1,1
Wed Feb 18 15:14:45 2026,18.337421875,135958,34.61040516295468,1003.3641121278624,82.63381092862045,0,1,2,0,1,2,252,60,10,1,1,1
Wed Feb 18 15:14:46 2026,18.3208203125,136290,34.56905196433338,1003.3555259498285,82.70586674507183,0,1,2,0,1,2,303,69,9,1,1,1
Wed Feb 18 15:14:47 2026,18.3003125,136846,34.54439052294301,1003.3525110812698,82.73116785477573,0,1,2,0,1,2,303,69,9,1,1,1
Wed Feb 18 15:14:48 2026,18.2790234375,137183,34.52534267507308,1003.3602461457644,82.66625446342982,0,1,2,0,1,2,303,69,9,1,1,1
Wed Feb 18 15:14:49 2026,18.263203125,138659,34.50113260887597,1003.3649979368462,82.62637718507078,1,1,2,1,1,2,366,88,11,1,1,1
Wed Feb 18 15:14:50 2026,18.245234375,138889,34.493764215819375,1003.3747911571714,82.5441924521329,1,1,2,1,1,2,366,88,11,1,1,1
Wed Feb 18 15:14:51 2026,18.2239453125,139120,34.469048299417544,1003.3773572188144,82.52265816288732,1,1,2,1,1,2,366,88,11,1,1,1
Wed Feb 18 15:14:52 2026,18.2040234375,138659,34.455822035370346,1003.3839084156814,82.46768097647768,1,2,2,1,2,2,411,103,12,1,1,1
Wed Feb 18 15:14:53 2026,18.178046875,139004,34.43067638207305,1003.3821401855798,82.48251981131578,1,2,2,1,2,2,411,103,12,1,1,1
Wed Feb 18 15:14:54 2026,18.1466015625,139933,34.422052424285674,1003.3850671142984,82.45795728888604,1,2,2,1,2,2,411,103,12,1,1,1
Wed Feb 18 15:14:55 2026,18.114765625,141231,34.41339386449792,1003.3873417074843,82.43886914760542,1,2,2,1,2,2,420,104,12,1,1,1
Wed Feb 18 15:14:56 2026,18.0786328125,142553,34.39866036555891,1003.3893687306933,82.42185861646071,1,2,2,1,2,2,420,104,12,1,1,1
Wed Feb 18 15:14:57 2026,18.0471875,142553,34.3786957513991,1003.3802386272656,82.49847754867086,1,2,2,1,2,2,420,104,12,1,1,1
