time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
1771462319.194278,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1944177,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1945574,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.194889,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1950495,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1951916,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1953328,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1954727,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1956124,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.195754,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1958945,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1960347,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1961753,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1963162,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
1771462319.1964653,6.643671875000001,197024,55.06563994216008,1000.1852123508116,109.34555514347024,1,4,5,1,4,5,393,109,34,11,1,0
