time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 25 14:34:14 2026,18.3909375,109334,61.099048526572915,1008.62740589296,38.557536146991396,0,0,0,0,0,0,99,27,8,0,0,0
Wed Feb 25 14:34:15 2026,18.392890625,109692,61.07949189335025,1008.6289379969369,38.54473302683805,0,0,0,0,0,0,99,27,8,0,0,0
Wed Feb 25 14:34:16 2026,18.39484375,110488,61.08639432183753,1008.6321916920444,38.51754337783517,0,0,0,0,0,0,99,27,8,0,0,0
Wed Feb 25 14:34:17 2026,18.3966015625,111370,61.07342426034323,1008.6265120027319,38.56500600237173,0,0,0,0,0,0,72,19,7,0,0,0
Wed Feb 25 14:34:18 2026,18.39796875,111074,61.06039743640686,1008.6184599341698,38.63229391061858,0,0,0,0,0,0,72,19,7,0,0,0
Wed Feb 25 14:34:19 2026,18.39953125,111741,61.06724167074154,1008.6158980173172,38.653702913682544,0,0,0,0,0,0,72,19,7,0,0,0
Wed Feb 25 14:34:20 2026,18.40109375,112947,61.06747188228218,1008.6202225354325,38.617564521451875,0,0,0,0,0,0,57,14,7,1,0,0
Wed Feb 25 14:34:21 2026,18.4020703125,113482,61.054387831557,1008.6184061191478,38.63274362264341,0,0,0,0,0,0,57,14,7,1,0,0
Wed Feb 25 14:34:22 2026,18.4036328125,114726,61.05461801200737,1008.6106792943539,38.69731401088123,0,0,0,0,0,0,57,14,7,1,0,0
Wed Feb 25 14:34:23 2026,18.4051953125,114883,61.05484819620749,1008.6132821725572,38.675562618001926,0,0,0,0,0,0,54,14,7,1,0,0
Wed Feb 25 14:34:24 2026,18.4063671875,114334,61.03518040005603,1008.6083478198146,38.71679741162907,0,0,0,0,0,0,54,14,7,1,0,0
Wed Feb 25 14:34:25 2026,18.4083203125,116319,61.02885499890705,1008.6081581339829,38.718382558173424,0,0,0,0,0,0,54,14,7,1,0,0
Wed Feb 25 14:34:26 2026,18.409296875,115757,61.01577330752859,1008.611506555853,38.690400855020854,0,0,0,0,0,0,75,20,7,1,0,0
Wed Feb 25 14:34:27 2026,18.410078125,116562,60.99605166625074,1008.6128079873523,38.679525223649925,0,0,0,0,0,0,75,20,7,1,0,0
Wed Feb 25 14:34:28 2026,18.4114453125,118207,61.009477216953854,1008.6202504196635,38.617331503690366,0,0,0,0,0,0,75,20,7,1,0,0
Wed Feb 25 14:34:29 2026,18.41203125,117792,61.00956349380678,1008.6195048553251,38.62356189895506,0,0,0,0,0,0,72,19,7,1,0,0
Wed Feb 25 14:34:30 2026,18.4126171875,117958,60.983202033519966,1008.6170376429857,38.64417947292968,0,0,0,0,0,0,72,19,7,1,0,0
Wed Feb 25 14:34:31 2026,18.412421875,118794,60.989784891949014,1008.614990640193,38.661285543333264,0,0,0,0,0,0,72,19,7,1,0,0
Wed Feb 25 14:34:32 2026,18.4126171875,119132,60.996425470651474,1008.6101510635418,38.70172826674163,0,0,0,0,0,0,87,25,7,1,0,0
Wed Feb 25 14:34:33 2026,18.413984375,119986,61.003238812656825,1008.6089852607805,38.71147051398367,0,0,0,0,0,0,87,25,7,1,0,0
Wed Feb 25 14:34:34 2026,18.4141796875,120677,61.0098798467758,1008.6093106160822,38.708751621074356,0,0,0,0,0,0,87,25,7,1,0,0
Wed Feb 25 14:34:35 2026,18.415546875,121818,60.99685679571509,1008.611588104021,38.689719383692406,0,0,0,0,0,0,90,25,4,1,0,0
Wed Feb 25 14:34:36 2026,18.4157421875,121465,60.990273687500846,1008.6015835433197,38.77332455300157,0,0,0,0,0,0,90,25,4,1,0,0
Wed Feb 25 14:34:37 2026,18.4161328125,122442,60.99033119397204,1008.6005125946177,38.78227419589633,0,0,0,0,0,0,90,25,4,1,0,0
Wed Feb 25 14:34:38 2026,18.4157421875,122801,60.97705060767817,1008.5981402388055,38.80209939073693,0,0,0,0,0,0,99,28,7,1,0,0
